"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1982,-2.1231597853545,-2.11088029331348,-2.09135935360309,-2.05225739588749,-2.0104689850003,-1.43001878216905,-1.38361448539967,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1982,-0.509985778438856,-0.506244516346563,-0.186667917973516,-0.129970105917573,0.018826774224561,0.0597568583165261,0.148694398860068,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1982,0.250102614781753,0.25648226488352,0.28166968659147,0.303766092652648,0.368839815103815,0.425059101677335,0.443949964240405,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1982,-1.06689760716157,-1.03774904152897,-1.01778699495377,-0.939896036677222,-0.827812028479597,0.339701166336038,0.370586337267893,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1983,-0.930391250976923,-0.838924850055194,-0.662670177740306,-0.314877827891282,-0.200280315772536,-0.188839527507928,-0.183966543722627,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1983,-0.564939690029056,-0.551253966062881,-0.521058736914113,-0.46190726817089,-0.41466868227683,-0.0584077146851413,0.0278192101085893,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1983,-0.622156264695772,-0.550398375553334,-0.196207996615656,-0.185702500866911,-0.092262974211842,-0.0448867427647092,-0.00238533368619986,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1983,-0.625256124870891,-0.577957735222527,-0.36912509852572,-0.186691328380275,-0.128433486648771,0.127594747329562,0.189172097860512,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1983,-0.91828785009723,-0.900111261182232,-0.83343897114217,-0.75838547478091,-0.622002868303742,0.159082598655469,0.191420617264488,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1984,-0.76583061673829,-0.752894887273038,-0.737439472444429,-0.674155244576141,-0.55023008739683,-0.52261940967975,-0.476773574606436,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1984,-2.07315464502701,-2.03131972806437,-1.91176365086907,-1.73374231999446,-1.67579114424391,-0.940322443674438,-0.896771385332308,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1984,0.104313943241836,0.139897047708383,0.268749845909199,0.397345548515526,0.415090810762602,0.436535465492205,0.466182016595522,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1984,-0.929307086752385,-0.81789859665862,-0.720075762186069,-0.497281284513893,-0.448583221650618,-0.159127821228006,-0.0975482674883075,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1984,-0.615286860002765,-0.60316970673558,-0.587992136174664,-0.390934426629663,-0.237856674276114,0.438640517398538,0.493488323144102,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1985,-0.154239358616901,-0.106320031245707,-0.039348058055397,0.0237117329285016,0.0956355918885197,0.117298758274233,0.126803522515878,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1985,-0.745892311741567,-0.581956455693271,-0.488561015545987,-0.378147780643485,-0.35070442176928,-0.320612139517298,-0.306164402818225,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1985,-0.784485276068147,-0.773413387981477,-0.743786855621697,-0.696036912705094,-0.538933549005632,-0.390147612995859,-0.319719402139852,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1985,-0.89108478285304,-0.86606793195036,-0.845965748186267,-0.800609263639976,-0.769447644123693,-0.749053213288683,-0.691917984015008,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1985,-0.443559714239931,-0.393462258672262,-0.248586864186235,-0.0920054630076524,0.00635563221578898,0.231722484146049,0.272248177715752,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1986,-0.886019627227284,-0.843797053391523,-0.821090504821805,-0.72884138564379,-0.710196439523583,-0.68836375281277,-0.674962050103968,25
