"year","region","quantity","value","scenario","model_label","run","seed","is_reference","is_base_fit_reference","display_label"
1981,"Region 5","Regional depletion",0.746565904335907,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1982,"Region 1","Regional depletion",0.58130267829111,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1982,"Region 2","Regional depletion",0.554877155277683,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1982,"Region 3","Regional depletion",0.655572144909572,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1982,"Region 4","Regional depletion",0.649007654947734,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1982,"Region 5","Regional depletion",0.732798267051766,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1983,"Region 1","Regional depletion",0.588530256560051,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1983,"Region 2","Regional depletion",0.538969730459876,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1983,"Region 3","Regional depletion",0.630009748700173,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1983,"Region 4","Regional depletion",0.635938402309913,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1983,"Region 5","Regional depletion",0.733380861850444,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1984,"Region 1","Regional depletion",0.602482570190315,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1984,"Region 2","Regional depletion",0.517905661477465,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1984,"Region 3","Regional depletion",0.61316505754983,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1984,"Region 4","Regional depletion",0.638064050423423,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1984,"Region 5","Regional depletion",0.724165405147,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1985,"Region 1","Regional depletion",0.604555960580937,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1985,"Region 2","Regional depletion",0.490025670031326,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1985,"Region 3","Regional depletion",0.586377708978328,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1985,"Region 4","Regional depletion",0.596648442302093,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1985,"Region 5","Regional depletion",0.701578382195025,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1986,"Region 1","Regional depletion",0.579244059201604,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1986,"Region 2","Regional depletion",0.466003334027922,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1986,"Region 3","Regional depletion",0.558568447593792,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1986,"Region 4","Regional depletion",0.572792601185873,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1986,"Region 5","Regional depletion",0.669546344369734,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1987,"Region 1","Regional depletion",0.552887844190732,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1987,"Region 2","Regional depletion",0.4630822889572,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1987,"Region 3","Regional depletion",0.537527191731632,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1987,"Region 4","Regional depletion",0.538235581304518,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1987,"Region 5","Regional depletion",0.661701758830824,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1988,"Region 1","Regional depletion",0.516620001435853,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1988,"Region 2","Regional depletion",0.468672175928719,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1988,"Region 3","Regional depletion",0.514130489972074,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
