"scenario","model_label","run","seed","display_label","is_reference","is_base_fit_reference","metric","quantity","unit","window","source","value","status_quantity"
"Diagnostic model","Diagnostic model",22,22,"Seed 22",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.02351941287879,"SB/SBMSY"
"Diagnostic model","Diagnostic model",22,22,"Seed 22",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.15353558657285,"F/FMSY"
"Diagnostic model","Diagnostic model",25,25,"Seed 25",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.195493799817389,"SB/SBF=0"
"Diagnostic model","Diagnostic model",25,25,"Seed 25",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.15569817191754,"SB/SBMSY"
"Diagnostic model","Diagnostic model",25,25,"Seed 25",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.06022052586938,"F/FMSY"
"Diagnostic model","Diagnostic model",26,26,"Seed 26",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.186803894996174,"SB/SBF=0"
"Diagnostic model","Diagnostic model",26,26,"Seed 26",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.10494091083782,"SB/SBMSY"
"Diagnostic model","Diagnostic model",26,26,"Seed 26",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.09974705817662,"F/FMSY"
"Diagnostic model","Diagnostic model",28,28,"Seed 28",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.177932847309906,"SB/SBF=0"
"Diagnostic model","Diagnostic model",28,28,"Seed 28",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.0577232664589,"SB/SBMSY"
"Diagnostic model","Diagnostic model",28,28,"Seed 28",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.12447992803328,"F/FMSY"
"Diagnostic model","Diagnostic model",29,29,"Seed 29",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.191441092639546,"SB/SBF=0"
"Diagnostic model","Diagnostic model",29,29,"Seed 29",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.10831632194245,"SB/SBMSY"
"Diagnostic model","Diagnostic model",29,29,"Seed 29",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.06643915964594,"F/FMSY"
"Diagnostic model","Diagnostic model",30,30,"Seed 30",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.197682329395983,"SB/SBF=0"
"Diagnostic model","Diagnostic model",30,30,"Seed 30",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.17237514602804,"SB/SBMSY"
"Diagnostic model","Diagnostic model",30,30,"Seed 30",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.04493207941484,"F/FMSY"
"Diagnostic model","Diagnostic model",NA,NA,"Diagnostic model (unjittered)",TRUE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.173139314418813,"SB/SBF=0"
"Diagnostic model","Diagnostic model",NA,NA,"Diagnostic model (unjittered)",TRUE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.0254953101072,"SB/SBMSY"
"Diagnostic model","Diagnostic model",NA,NA,"Diagnostic model (unjittered)",TRUE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.14364135407136,"F/FMSY"
